Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,150.0,Portuguese,Degree,Bachelor,Scientific,Scientific,150.0,No,No,No,Paid,Male,No,25,No,9,14,16,14,12.428571428571429,0,3,9,13,6,10.857142857142858,0,15.5,2.8,-4.06,Dropout
Single,Phase 2 - General,1,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Industry,Admin,117.8,Yes,No,No,Paid,Male,No,20,No,0,5,8,3,11.0,0,0,5,11,3,12.0,0,10.8,1.4,1.74,Enrolled
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,161.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,144.2,Yes,No,No,Paid,Male,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Graduate
Single,Tech Diploma,1,Tourism,Daytime,Tech Specialization,130.0,Portuguese,Tech Course,Tech Course,Meal Prep,Unskilled Industry,130.0,Yes,No,Yes,Paid,Male,No,23,No,0,6,12,3,11.5,0,0,6,12,3,10.666666666666666,0,8.9,1.4,3.51,Enrolled
Single,Transfer,1,Nursing,Daytime,Secondary Education,111.0,Portuguese,Secondary Ed,Degree,Unskilled,Armed Forces,128.2,Yes,No,No,Paid,Male,No,23,No,0,8,8,8,12.5075,0,0,8,8,8,12.5075,0,9.4,-0.8,-3.12,Graduate
Single,Short Cycle Diploma,1,Agronomy,Daytime,Professional Tech Course,140.0,Portuguese,Degree,Basic Ed 2nd Cycle,Office Worker,Personal Service,135.3,No,No,No,Paid,Male,No,21,No,7,12,18,11,12.090909090909092,0,5,12,14,11,12.0,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,132.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Technician,143.9,Yes,No,No,Paid,Male,No,20,No,0,5,14,2,11.0,3,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,139.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Armed Forces,140.7,No,No,No,Paid,Male,No,25,No,0,5,13,1,10.0,0,0,5,8,2,11.333333333333334,0,12.4,0.5,1.79,Dropout
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,132.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,130.4,Yes,No,No,Paid,Male,No,18,No,0,6,6,6,13.5,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,6,Communication Design,Daytime,Higher Ed Frequency,119.0,Portuguese,Secondary Ed,Secondary Ed,Unskilled,Unskilled,123.2,Yes,No,No,Paid,Male,No,22,No,0,6,6,6,14.166666666666666,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
Single,Over 23 Years,1,Marketing,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technician,Unskilled,118.0,No,No,No,Paid,Male,No,27,No,0,6,7,6,14.0,0,0,6,7,6,14.714285714285714,0,8.9,1.4,3.51,Graduate
Single,Over 23 Years,1,Agronomy,Daytime,Basic Ed 3rd Cycle,133.1,Portuguese,Master,Secondary Ed,Scientific,Admin,120.0,No,No,No,Paid,Male,No,25,No,0,3,4,0,0.0,0,0,3,5,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Phase 2 - General,4,Informatics Engineering,Daytime,Secondary Education,129.0,Portuguese,Unknown,Can Read,Student,Service,118.9,Yes,No,No,Paid,Male,No,18,No,0,5,9,3,11.666666666666666,0,0,5,10,3,11.333333333333334,4,7.6,2.6,0.32,Dropout
Single,Phase 2 - General,1,Veterinary Nursing,Daytime,Secondary Education,128.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Machine Operator,Machine Operator,117.2,No,No,No,Paid,Male,No,20,No,0,5,7,5,14.6,1,0,5,5,5,14.2,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,1,Agronomy,Daytime,Secondary Education,120.0,Portuguese,Degree,Master,Scientific,Scientific,120.0,No,No,No,Paid,Male,No,27,No,0,6,10,5,13.0,0,0,6,13,5,11.5,0,16.2,0.3,-0.92,Graduate
Single,Phase 1 - General,1,Social Service Evening,Evening,Secondary Education,130.0,Portuguese,Secondary Ed,Secondary Ed,Unskilled,Unskilled,118.1,No,No,No,Paid,Male,No,20,No,0,6,7,6,12.166666666666666,0,0,6,9,6,12.0,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,124.8,Yes,No,No,Paid,Male,No,22,No,0,5,9,0,0.0,0,0,5,5,1,12.0,0,7.6,2.6,0.32,Dropout
Single,Phase 2 - General,6,Informatics Engineering,Daytime,Secondary Education,111.0,Portuguese,Basic Ed 3rd Cycle,Degree,Service,Armed Forces,106.5,Yes,No,No,Paid,Male,No,19,No,0,5,10,3,10.5,0,0,5,11,3,10.8,0,12.4,0.5,1.79,Dropout
Single,Phase 1 - General,6,Management,Daytime,Secondary Education,121.0,Portuguese,Degree,Basic Ed 3rd Cycle,Admin,Service,116.8,No,No,No,Paid,Male,No,20,No,0,5,14,3,12.4,0,0,5,8,5,10.833333333333334,0,13.9,-0.3,0.79,Enrolled
Single,Course Change,4,Animation Design,Daytime,Secondary Education,117.0,Portuguese,Basic Ed 3rd Cycle,Other 11th,Unskilled,Armed Forces,109.3,No,No,No,Paid,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
Married,Over 23 Years,1,Veterinary Nursing,Daytime,12th Incomplete,133.1,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,120.0,Yes,No,No,Unpaid,Male,No,29,No,0,5,12,0,0.0,4,0,5,8,0,0.0,1,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,2,Nursing,Daytime,Secondary Education,149.0,Portuguese,Degree,Secondary Ed,Unskilled,Unskilled,137.5,No,No,No,Paid,Male,No,19,No,0,8,8,7,13.828571428571427,0,0,8,8,7,13.828571428571427,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,2,Management Evening,Evening,Secondary Education,172.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Machine Operator,150.0,Yes,No,No,Paid,Female,Yes,28,No,0,5,7,5,10.6,0,0,5,6,5,10.2,0,9.4,-0.8,-3.12,Enrolled
Married,Phase 1 - General,1,Social Service,Daytime,Secondary Education,134.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Service,Service,120.4,No,No,No,Paid,Female,No,20,No,0,6,7,6,11.5,0,0,6,6,6,11.666666666666666,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,4,Communication Design,Daytime,Secondary Education,136.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Machine Operator,136.7,Yes,No,No,Paid,Female,No,20,No,0,6,6,4,13.5,0,0,6,8,6,13.625,0,10.8,1.4,1.74,Graduate
Single,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,133.1,Portuguese,Unknown,Doctorate,Student,Legislative,118.5,Yes,No,No,Paid,Female,No,31,No,0,6,12,0,0.0,0,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Phase 2 - General,5,Nursing,Daytime,Secondary Education,141.0,Portuguese,Other 11th,Secondary Ed,Service,Service,133.0,Yes,No,No,Paid,Female,No,18,No,0,7,8,7,12.5375,0,0,8,9,7,12.614285714285714,0,13.9,-0.3,0.79,Graduate
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,141.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Machine Operator,Industry,128.8,Yes,No,No,Paid,Female,No,19,No,0,6,6,6,14.833333333333334,0,0,6,8,6,13.285714285714286,0,8.9,1.4,3.51,Enrolled
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,148.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,133.0,Yes,No,No,Paid,Female,No,18,No,0,5,10,4,12.0,0,0,5,9,4,12.8,0,13.9,-0.3,0.79,Graduate
Single,Phase 2 - General,1,Tourism,Daytime,Secondary Education,102.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry,Industry,102.0,No,No,No,Paid,Female,No,19,No,0,6,8,5,11.8,0,0,6,8,5,11.6,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,143.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Technician,Technician,133.9,No,No,No,Paid,Female,Yes,18,No,0,5,5,5,15.0,0,0,5,5,5,15.2,0,12.7,3.7,-1.7,Graduate
Single,Phase 2 - General,1,Veterinary Nursing,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Other,Other,127.0,No,No,No,Paid,Female,No,19,No,0,5,7,3,12.0,0,0,5,7,5,13.2,0,7.6,2.6,0.32,Graduate
Single,Phase 2 - General,1,Journalism,Daytime,Secondary Education,121.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,120.4,Yes,No,No,Paid,Female,Yes,18,No,0,6,6,6,12.833333333333334,0,0,6,7,6,12.285714285714286,0,15.5,2.8,-4.06,Graduate
Single,Phase 1 - General,3,Tourism,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Technician,124.5,Yes,No,No,Paid,Female,No,19,No,0,6,12,6,11.666666666666666,0,0,6,14,3,12.0,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,4,Oral Hygiene,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 1st Cycle,Secondary Ed,Service,Admin,123.9,No,No,No,Paid,Female,No,19,No,0,7,9,7,12.1625,0,0,8,8,8,13.825,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,2,Marketing,Daytime,Secondary Education,123.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Technician,117.8,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,13.833333333333334,0,0,6,11,6,14.555555555555555,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,133.0,Portuguese,Degree,Basic Ed 3rd Cycle,Scientific,Machine Operator,126.7,No,No,No,Paid,Female,No,19,No,0,7,12,4,12.45,0,0,7,11,5,11.7,0,16.2,0.3,-0.92,Enrolled
Single,Tech Diploma,1,Marketing,Daytime,Tech Specialization,110.0,Portuguese,Basic Ed 1st Cycle,Secondary Ed,Unskilled,Admin,110.0,No,No,No,Paid,Female,Yes,20,No,2,6,9,6,12.125,0,2,6,7,6,13.571428571428571,0,11.1,0.6,2.02,Graduate
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,155.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Admin,Machine Operator,134.7,Yes,No,No,Paid,Female,No,20,No,0,6,8,5,13.4,0,0,6,10,4,13.0,0,12.7,3.7,-1.7,Enrolled
Single,Phase 2 - General,1,Agronomy,Daytime,Secondary Education,119.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Admin,Agriculture,113.2,No,No,Yes,Paid,Female,No,20,No,0,6,8,6,13.333333333333334,0,0,6,8,5,14.0,0,11.1,0.6,2.02,Enrolled
Single,Over 23 Years,1,Management Evening,Evening,Degree,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,141.0,No,No,No,Paid,Female,No,29,No,10,15,15,11,11.454545454545457,0,9,13,16,11,11.545454545454543,0,10.8,1.4,1.74,Dropout
Single,Phase 2 - General,1,Basic Education,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 2nd Cycle,Other 11th,Industry,Student,111.5,No,No,No,Unpaid,Female,Yes,20,No,0,6,10,4,12.0,0,0,6,14,3,10.0,0,7.6,2.6,0.32,Dropout
Divorced,Over 23 Years,1,Basic Education,Daytime,Secondary Education,143.0,Portuguese,Basic Ed 1st Cycle,Secondary Ed,Unskilled,Armed Forces,140.0,No,No,Yes,Unpaid,Female,No,31,No,0,7,8,6,12.666666666666666,0,0,7,9,5,12.6,0,8.9,1.4,3.51,Dropout
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,149.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Industry,Admin,134.3,No,Yes,No,Paid,Female,No,20,No,0,6,7,6,12.666666666666666,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,Graduate
Single,Phase 2 - General,1,Agronomy,Daytime,Secondary Education,133.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,125.3,Yes,No,No,Paid,Female,No,21,No,12,18,22,18,11.88888888888889,1,11,13,13,13,11.461538461538462,0,15.5,2.8,-4.06,Graduate
Single,Higher Course Holders,1,Equinculture,Daytime,Degree,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,140.0,Yes,No,No,Paid,Female,No,23,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Phase 2 - General,5,Communication Design,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Service,Industry,119.6,No,No,Yes,Unpaid,Female,No,21,No,0,6,6,4,13.0,0,0,6,8,4,11.6,0,10.8,1.4,1.74,Dropout
Single,Higher Course Holders,1,Nursing,Daytime,Degree 1st Cycle,170.0,Portuguese,Secondary Ed,Secondary Ed,Unskilled,Admin,170.0,No,No,No,Paid,Female,No,24,No,4,7,7,7,16.885714285714283,0,3,8,9,8,15.744444444444444,0,16.2,0.3,-0.92,Graduate
Single,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,120.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,150.5,No,No,No,Paid,Female,No,27,No,0,6,6,6,12.5,0,1,6,6,6,12.333333333333334,0,15.5,2.8,-4.06,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,143.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Technician,Machine Operator,128.0,No,No,No,Paid,Female,Yes,18,No,0,7,9,7,13.055555555555555,0,0,8,8,8,15.8125,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,3,Animation Design,Daytime,Secondary Education,115.0,Portuguese,12th Incomplete,Secondary Ed,Agriculture,Agriculture,108.7,Yes,No,No,Unpaid,Female,No,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 2 - General,1,Equinculture,Daytime,Secondary Education,123.0,Portuguese,Basic Ed 3rd Cycle,Degree,Technician,Scientific,121.6,Yes,No,Yes,Paid,Female,Yes,19,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,131.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Industry,Industry,125.3,Yes,No,No,Paid,Female,Yes,19,No,0,8,8,7,12.355714285714283,0,0,8,8,7,12.355714285714283,0,10.8,1.4,1.74,Graduate
Single,Phase 2 - General,1,Veterinary Nursing,Daytime,Secondary Education,127.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Meal Prep,Unskilled Industry,117.6,No,No,No,Paid,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Course Change,3,Nursing,Daytime,Secondary Education,126.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Agriculture,Service,124.3,Yes,No,No,Paid,Female,Yes,18,No,0,7,8,5,11.98,0,0,7,8,5,11.98,0,7.6,2.6,0.32,Enrolled
Single,Phase 1 - General,2,Basic Education,Daytime,Secondary Education,112.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Cleaning,Assembler,106.1,Yes,No,Yes,Paid,Female,Yes,20,No,0,7,7,7,13.857142857142858,0,0,7,8,7,12.571428571428571,0,8.9,1.4,3.51,Graduate
Married,Phase 1 - General,1,Social Service Evening,Evening,Secondary Education,150.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Admin,Industry,139.9,Yes,No,No,Paid,Female,No,24,No,0,6,9,5,13.0,0,0,6,6,6,14.166666666666666,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,1,Communication Design,Daytime,Secondary Education,116.0,Portuguese,Secondary Ed,Secondary Ed,Legislative,Legislative,110.8,Yes,No,No,Paid,Female,No,20,No,0,6,6,6,12.833333333333334,0,0,6,10,6,11.166666666666666,0,12.4,0.5,1.79,Graduate
Single,Phase 2 - General,3,Management,Daytime,Secondary Education,118.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Service,Industry,118.0,No,No,No,Paid,Female,No,20,No,0,5,11,4,11.0,0,0,5,7,5,13.2,0,12.4,0.5,1.79,Enrolled
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,117.8,Yes,No,No,Paid,Female,Yes,19,No,0,8,8,7,12.357142857142858,0,0,8,8,7,12.357142857142858,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,6,Nursing,Daytime,Secondary Education,144.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Unskilled,Unskilled,127.5,Yes,No,No,Paid,Female,Yes,18,No,0,8,8,7,13.857142857142858,0,0,8,8,7,13.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,Phase 2 - General,2,Social Service,Daytime,Degree,105.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry,Machine Operator,129.7,Yes,No,No,Paid,Female,Yes,20,No,0,6,6,6,12.333333333333334,0,0,6,6,6,10.666666666666666,0,9.4,-0.8,-3.12,Graduate
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,143.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Machine Operator,130.6,Yes,No,No,Paid,Female,No,20,No,0,7,8,7,12.847142857142858,0,0,8,10,8,13.788888888888888,0,16.2,0.3,-0.92,Graduate
Single,Phase 2 - General,2,Nursing,Daytime,Secondary Education,137.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Admin,Industry,126.3,Yes,No,No,Paid,Female,Yes,19,No,0,7,9,6,12.339999999999998,0,0,8,9,8,13.01875,0,11.1,0.6,2.02,Graduate
Single,Tech Diploma,1,Veterinary Nursing,Daytime,Tech Specialization,140.0,Portuguese,Degree,Secondary Ed,Scientific,Technician,140.0,Yes,No,No,Paid,Female,No,19,No,0,6,10,5,12.666666666666666,0,0,6,19,4,11.75,0,12.4,0.5,1.79,Enrolled
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,133.1,Portuguese,Degree,Basic Ed 3rd Cycle,Admin,Service,105.0,Yes,No,No,Paid,Female,No,20,No,0,6,6,6,13.833333333333334,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
Single,Phase 2 - General,2,Management,Daytime,Secondary Education,116.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Technician,114.6,Yes,No,No,Paid,Female,No,19,No,0,5,15,2,10.75,0,0,5,11,2,10.0,0,13.9,-0.3,0.79,Dropout
Single,Phase 2 - General,5,Basic Education,Daytime,Secondary Education,117.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,114.6,Yes,No,No,Paid,Female,No,19,No,0,6,11,4,13.25,0,0,6,10,4,10.25,0,9.4,-0.8,-3.12,Dropout
Single,Phase 2 - General,1,Nursing,Daytime,Secondary Education,137.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Industry,Service,131.0,Yes,No,No,Paid,Female,Yes,18,No,0,8,8,8,13.73125,0,0,8,8,8,13.73125,0,9.4,-0.8,-3.12,Graduate
Single,Phase 2 - General,4,Communication Design,Daytime,Secondary Education,116.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,109.0,No,No,No,Paid,Female,Yes,23,No,0,6,6,6,13.333333333333334,0,0,6,8,3,12.666666666666666,0,11.1,0.6,2.02,Dropout
Single,Phase 1 - General,1,Basic Education,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Machine Operator,132.0,Yes,No,No,Paid,Female,No,21,No,0,6,8,5,12.0,0,0,6,9,5,10.8,0,12.7,3.7,-1.7,Dropout
Single,Tech Diploma,1,Social Service Evening,Evening,Tech Specialization,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Agriculture,Agriculture,130.0,Yes,No,No,Paid,Female,No,23,No,5,9,10,9,10.88888888888889,0,3,8,10,6,11.333333333333334,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,3,Nursing,Daytime,Secondary Education,106.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Industry,109.5,Yes,No,No,Paid,Female,No,19,No,0,7,8,7,13.025,0,0,8,9,8,13.811111111111112,0,13.9,-0.3,0.79,Graduate
Single,Phase 2 - General,2,Journalism,Daytime,Secondary Education,125.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Service,Agriculture,115.9,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,13.0,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Journalism,Daytime,Secondary Education,134.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,131.6,Yes,Yes,No,Paid,Female,No,19,No,0,6,10,5,11.8,0,0,6,10,5,12.0,0,10.8,1.4,1.74,Graduate
Single,Over 23 Years,1,Nursing,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,120.0,No,No,No,Paid,Female,Yes,25,No,0,8,8,7,12.042857142857144,0,0,8,8,7,12.042857142857144,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,2,Basic Education,Daytime,Secondary Education,117.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Unskilled,109.7,Yes,No,No,Paid,Female,No,19,No,0,6,9,5,12.2,0,0,6,10,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,136.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Service,Industry,136.4,No,No,No,Paid,Female,Yes,19,No,0,7,8,7,12.8375,0,0,8,8,8,15.5,0,13.9,-0.3,0.79,Graduate
Single,Over 23 Years,1,Oral Hygiene,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Cleaning,Unskilled Industry,120.0,No,No,Yes,Paid,Female,Yes,24,No,0,7,13,7,11.0,0,0,8,13,7,11.7,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Marketing,Daytime,Secondary Education,135.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Industry,132.6,Yes,No,No,Paid,Female,Yes,18,No,0,6,7,6,13.5,0,0,6,9,5,14.0,0,8.9,1.4,3.51,Graduate
Single,Phase 2 - General,5,Social Service,Daytime,Secondary Education,122.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry,Service,112.9,Yes,No,No,Paid,Female,Yes,19,No,0,6,8,6,12.125,0,0,6,7,6,12.714285714285714,0,16.2,0.3,-0.92,Graduate
Single,Phase 1 - General,5,Nursing,Daytime,Secondary Education,147.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,134.3,No,No,No,Paid,Female,Yes,18,No,0,8,12,7,12.62857142857143,0,0,8,12,7,12.62857142857143,0,12.7,3.7,-1.7,Graduate
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Secondary Ed,Unskilled,Admin,123.2,No,No,No,Paid,Female,No,27,No,0,5,9,3,10.666666666666666,0,0,5,7,4,11.4,0,10.8,1.4,1.74,Enrolled
Single,Phase 2 - General,3,Social Service,Daytime,Secondary Education,121.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Service,117.2,No,No,No,Paid,Female,No,19,No,0,6,11,5,11.2,0,0,6,13,5,11.6,0,15.5,2.8,-4.06,Graduate
Single,Phase 3 - General,1,Journalism,Daytime,Secondary Education,135.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Technician,129.8,No,No,No,Paid,Female,Yes,18,No,0,6,6,6,12.666666666666666,0,0,6,6,6,11.833333333333334,0,12.7,3.7,-1.7,Dropout
Married,Over 23 Years,1,Marketing,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Student,158.0,No,No,Yes,Unpaid,Female,No,34,No,0,6,7,4,13.5,0,0,6,6,0,0.0,6,12.7,3.7,-1.7,Dropout
Single,Phase 1 - General,6,Management,Daytime,Secondary Education,128.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,116.5,No,No,No,Paid,Female,No,18,No,0,5,9,3,11.666666666666666,0,0,5,15,2,11.0,0,7.6,2.6,0.32,Enrolled
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,129.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Admin,Unskilled,121.0,Yes,No,No,Paid,Female,No,18,No,0,5,8,2,10.5,0,0,5,7,3,12.333333333333334,0,7.6,2.6,0.32,Enrolled
Single,Phase 1 - General,3,Nursing,Daytime,Secondary Education,143.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Industry,Industry,133.8,Yes,No,No,Paid,Female,No,18,No,0,8,8,8,14.26875,0,0,8,8,8,14.26875,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 1 - General,2,Journalism,Daytime,Secondary Education,108.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Industry,Industry,115.0,Yes,No,Yes,Unpaid,Female,No,20,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,131.8,Yes,No,No,Paid,Female,Yes,19,No,0,5,8,2,10.5,0,0,5,11,3,13.333333333333334,0,7.6,2.6,0.32,Enrolled
